"state","puma12","puma2k","intptlon","intptlat","pop10","afact","AFACT2"
"FIPS state","puma12","puma2k","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","puma12 to puma2k alloc factor","puma2k to puma12 alloc factor"
"06","09901","02602",-121.099864,37.49679,54762,0.482242,0.371787 
"06","09902","02602",-121.024519,37.628359,10564,0.089187,0.07172 
"06","09903","02602",-120.887384,37.726662,79019,0.453822,0.536471 
"06","09904","02602",-120.971466,37.65154,2949,0.027223,0.020021 
"06","08501","02701",-122.110897,37.401846,195320,1,1 
"06","08502","02702",-122.024565,37.369617,144475,0.985377,1 
"06","08502","02703",-121.970397,37.42754,2144,0.014623,0.016662 
"06","08503","02703",-121.962597,37.363716,126534,0.971283,0.983338 
"06","08504","02704",-121.885573,37.416158,128989,1,1 
"06","08505","02705",-121.81858,37.362195,106040,1,1 
"06","08506","02706",-121.610399,37.069287,110301,1,0.963554 
"06","08512","02706",-121.764702,37.224335,4172,0.039583,0.036445 
"06","08507","02707",-122.01149,37.28229,132926,0.973424,1 
"06","08503","02708",-121.943659,37.333259,3741,0.028716,0.028707 
"06","08508","02708",-121.975342,37.298094,126575,0.948681,0.971292 
"06","08509","02709",-121.896708,37.334006,121804,1,1 
"06","08508","02710",-121.933233,37.284203,6847,0.051318,0.043525 
"06","08510","02710",-121.8763,37.297733,150464,1,0.956474 
"06","08507","02711",-121.933455,37.239843,3629,0.026575,0.034973 
"06","08511","02711",-121.877388,37.258917,100137,0.960804,0.965027 
"06","08511","02712",-121.859915,37.25278,4085,0.039195,0.038789 
"06","08512","02712",-121.841952,37.230672,101227,0.960417,0.96121 
"06","08513","02713",-121.792065,37.288531,108883,1,0.937459 
"06","08514","02713",-121.807327,37.304302,7264,0.070286,0.062541 
"06","08514","02714",-121.840754,37.345276,96085,0.929714,1 
"06","08701","02801",-121.930251,36.998789,10422,0.073421,0.08212 
"06","08702","02801",-121.988999,36.974413,116490,0.967259,0.91788 
"06","08701","02802",-121.89397,36.995519,131527,0.926579,0.970894 
"06","08702","02802",-121.840239,36.921852,3943,0.03274,0.029106 
"06","05302","02900",-121.635656,36.690501,148111,0.907526,1 
"06","05301","03001",-121.859038,36.613112,122921,0.702538,0.999983 
"06","05302","03001",-121.702866,36.628044,2,0.000012,0.000016 
"06","05301","03002",-121.71071,36.736977,52046,0.297462,0.261154 
"06","05302","03002",-121.634293,36.728113,15090,0.092462,0.075718 
"06","05303","03002",-121.335401,36.556414,132156,1,0.663127 
"06","04701","03100",-120.785665,37.212905,104190,0.995918,0.408003 
"06","04702","03100",-120.51245,37.328817,151176,1,0.591997 
"06","03900","03200",-120.006567,37.043099,150865,1,1 
"06","01901","03301",-119.780978,36.693366,42,0.00029,0.000128 
"06","01903","03301",-119.749597,36.779023,84234,0.826796,0.256691 
"06","01904","03301",-119.823076,36.765251,149345,0.877777,0.455108 
"06","01905","03301",-119.734805,36.73088,93459,0.863945,0.284803 
"06","01906","03301",-119.660877,36.7828,1073,0.010454,0.00327 
"06","01902","03302",-119.806465,36.838632,150213,0.865038,1 
"06","01901","03401",-120.002748,36.55477,144682,0.99971,0.8883 
"06","01902","03401",-119.916302,36.815733,2410,0.013879,0.014797 
"06","01904","03401",-119.871925,36.755495,15356,0.090255,0.094281 
"06","04701","03401",-120.607029,36.977184,427,0.004082,0.002622 
"06","01902","03402",-119.785768,36.848871,21026,0.121083,0.072595 
"06","01903","03402",-119.725786,36.775641,17646,0.173204,0.060925 
"06","01904","03402",-119.805744,36.79796,5439,0.031968,0.018779 
"06","01905","03402",-119.710602,36.724286,14718,0.136055,0.050815 
"06","01906","03402",-119.689225,36.82229,101569,0.989546,0.350678 
"06","01907","03402",-119.48706,36.685427,129238,1,0.446208 
"06","10701","03501",-119.311288,36.329435,135978,1,1 
"06","10702","03502",-119.186394,36.138869,143634,0.960885,1 
"06","10702","03503",-118.967984,36.0666,5847,0.039115,0.035967 
"06","10703","03503",-119.214013,36.293235,156720,1,0.964033 
"06","03100","03600",-119.728977,36.24275,152982,1,1 
"06","07901","03701",-120.891785,35.395265,35518,0.217836,0.274928 
"06","07902","03701",-120.659396,35.566272,93672,0.878823,0.725071 
"06","07901","03702",-120.61587,35.172902,127531,0.782164,0.908036 
"06","07902","03702",-120.625915,35.246838,12916,0.121177,0.091963 
"06","02901","03800",-119.1335,35.354109,10363,0.054553,0.031417 
"06","02902","03800",-119.085155,35.339805,173696,0.866876,0.526591 
"06","02903","03800",-118.976783,35.383753,88019,0.567337,0.266845 
"06","02904","03800",-119.014484,35.315157,57629,0.534344,0.174713 
"06","02905","03800",-119.000727,35.406752,143,0.000768,0.000434 
"06","02901","03901",-119.299151,35.542623,154390,0.812741,1 
"06","02904","03902",-118.91572,35.259924,20585,0.190867,0.119103 
"06","02905","03902",-118.234458,35.266517,152249,0.817203,0.880897 
"06","02901","03903",-119.13356,35.381778,25209,0.132705,0.138101 
"06","02902","03903",-119.100844,35.373153,26674,0.133124,0.146127 
"06","02903","03903",-118.951209,35.375981,67125,0.432662,0.367728 
"06","02904","03903",-118.994645,35.323828,29636,0.274789,0.162353 
"06","02905","03903",-119.028116,35.42345,33896,0.181938,0.185691 
"06","07112","04000",-117.682082,34.053859,17,0.000141,0.000104 
"06","07113","04000",-117.634154,34.054589,162034,0.968668,0.98847 
"06","07114","04000",-117.652744,34.021564,1873,0.012067,0.011426 
"06","07104","04100",-117.629026,34.163571,115,0.001042,0.000714 
"06","07111","04100",-117.573949,34.122177,160979,0.97459,0.999286 
"06","07104","04200",-117.485757,34.172072,142,0.001287,0.000808 
"06","07109","04200",-117.440274,34.140463,9327,0.085999,0.05306 
"06","07110","04200",-117.435023,34.09506,80273,0.756351,0.456665 
"06","07115","04200",-117.476868,34.095043,86039,0.732658,0.489467 
"06","07104","04300",-117.343321,34.193308,11393,0.103277,0.055109 
"06","07106","04300",-117.279995,34.054814,3563,0.034706,0.017235 
"06","07107","04300",-117.242849,34.124175,37961,0.357149,0.183622 
"06","07108","04300",-117.307538,34.131544,153447,0.905906,0.74224 
"06","07109","04300",-117.355252,34.109497,371,0.003421,0.001795 
"06","07112","04401",-117.694403,34.052607,5854,0.048386,0.035601 
"06","07113","04401",-117.65522,34.011268,5241,0.031332,0.031873 
"06","07114","04401",-117.703565,33.994142,153339,0.987932,0.932526 
"06","07111","04402",-117.619107,34.122595,43,0.00026,0.000373 
"06","07112","04402",-117.672709,34.098901,115115,0.951474,0.999626 
"06","07106","04403",-117.334585,34.058667,76042,0.740709,0.337471 
"06","07108","04403",-117.323562,34.087886,1224,0.007226,0.005432 
"06","07109","04403",-117.381925,34.109358,93244,0.859748,0.413813 
"06","07110","04403",-117.417174,34.08822,25859,0.243649,0.114761 
"06","07115","04403",-117.479826,34.090424,28960,0.246607,0.128523 
"06","07105","04404",-117.122717,34.049334,137401,1,0.625391 
"06","07106","04404",-117.249063,34.04962,23056,0.224584,0.104941 
"06","07107","04404",-117.222086,34.121663,59247,0.557414,0.269667 
"06","07101","04405",-116.512679,34.528063,139447,1,0.799237 
"06","07103","04405",-117.247725,34.556118,5565,0.033314,0.031896 
"06","07104","04405",-116.920673,34.256517,29463,0.267081,0.168867 
"06","03701","04406",-117.672566,34.186322,2,0.000014,8E-6 
"06","07102","04406",-117.39339,34.483557,26373,0.1628,0.100281 
"06","07103","04406",-117.287636,34.433162,131560,0.787567,0.500245 
"06","07104","04406",-117.399862,34.333029,69159,0.626923,0.262971 
"06","07107","04406",-117.251974,34.148015,9081,0.085437,0.03453 
"06","07108","04406",-117.332423,34.157714,14714,0.086867,0.055949 
"06","07109","04406",-117.392399,34.14381,5513,0.050832,0.020963 
"06","07111","04406",-117.534959,34.151026,4154,0.025149,0.015795 
"06","07115","04406",-117.472953,34.162886,2435,0.020735,0.009259 
"06","07102","04407",-117.353884,34.517573,135623,0.837199,0.819256 
"06","07103","04407",-117.217689,34.52589,29921,0.179118,0.180743 
"06","03701","04500",-118.064558,34.70424,3884,0.027782,0.024804 
"06","03703","04500",-118.150823,34.685868,150941,0.922441,0.963955 
"06","03704","04500",-118.198046,34.638947,1760,0.010714,0.01124 
"06","03701","04600",-118.242136,34.639931,2178,0.015579,0.014335 
"06","03704","04600",-118.101534,34.576534,149757,0.911663,0.985665 
"06","03701","04700",-118.482882,34.456914,12164,0.087009,0.073856 
"06","03702","04700",-118.50941,34.413278,152534,0.810911,0.926143 
"06","03720","04800",-118.324411,34.180166,103325,0.874576,1 
"06","03709","04900",-118.246234,34.22051,952,0.008639,0.004965 
"06","03719","04900",-118.252914,34.16353,190790,1,0.994957 
"06","03720","04900",-118.289199,34.184627,15,0.000127,0.000078 
"06","03709","05000",-118.094322,34.174806,4873,0.044219,0.035506 
"06","03717","05000",-118.104663,34.134682,30,0.000159,0.000219 
"06","03718","05000",-118.134416,34.154304,132340,0.979367,0.964275 
"06","03710","05100",-118.005188,34.064402,5,0.000029,0.000044 
"06","03717","05100",-118.03196,34.094966,1170,0.006187,0.01031 
"06","03737","05100",-118.060292,34.083801,87,0.000677,0.000767 
"06","03738","05100",-118.026685,34.071224,112225,0.854065,0.98888 
"06","03711","05200",-117.743489,34.108855,1352,0.008247,0.009067 
"06","03712","05200",-117.754852,34.060059,146689,0.998598,0.98373 
"06","03713","05200",-117.817159,34.054037,536,0.004888,0.003595 
"06","03714","05200",-117.769053,34.021807,538,0.00493,0.003608 
"06","03737","05300",-118.15521,34.034788,412,0.003208,0.003299 
"06","03740","05300",-118.143597,34.02769,527,0.004097,0.004219 
"06","03741","05300",-118.175781,34.017105,13,0.000091,0.000104 
