afactor,puma2000,czone
1,123501,7100
1,123502,7100
1,123503,7100
1,123504,7100
1,123505,7100
1,123506,7100
1,123507,7100
1,123508,7100
1,123509,7100
1,123601,7000
1,123602,7000
1,123603,7000
1,123604,7000
1,123605,7000
1,123606,7000
1,123607,7000
1,123608,7000
1,123609,7000
1,123610,7000
1,123611,7000
1,123612,7000
1,123613,7000
1,123701,7200
1,123702,7200
1,123800,7200
1,123901,7200
1,123902,7200
1,123903,7200
1,124001,7000
1,124002,7000
1,124003,7000
1,124004,7000
1,124005,7000
1,124006,7000
1,124007,7000
1,124008,7000
1,124009,7000
1,124010,7000
1,124011,7000
1,124012,7000
1,124013,7000
1,124014,7000
1,124015,7000
1,124016,7000
1,124017,7000
1,124018,7000
1,124019,7000
1,124020,7000
.999,130100,6401
1,130200,6600
.165,130300,1204
.475,130300,9400
.267,130300,6501
.093,130300,1201
.551,130400,9302
.449,130400,9400
1,130500,9301
1,130600,9400
.518,130700,9100
.482,130700,6600
.999,130800,9100
.568,130900,9100
.432,130900,9301
.309,131000,8900
.691,131000,9200
1,131101,9100
1,131102,9100
1,131103,9100
1,131104,9100
1,131105,9100
1,131106,9100
1,131107,9100
1,131201,9100
1,131202,9100
1,131203,9100
1,131204,9100
1,131205,9100
1,131206,9100
1,131301,9100
1,131302,9100
1,131303,9100
1,131304,9100
1,131305,9100
1,131401,9100
1,131402,9100
1,131501,9100
1,131502,9100
1,131503,9100
1,131504,9100
1,131505,9100
1,131600,9100
1,131700,9100
.514,131800,9100
.486,131800,9600
1,131900,9100
.373,132000,9600
.245,132000,9200
.382,132000,9100
.858,132100,6600
.143,132100,9600
.1,132200,9002
.204,132200,9302
.063,132200,8401
.126,132200,9301
.154,132200,9100
.353,132200,8402
1,132300,8401
1,132400,8401
.385,132500,8401
.194,132500,9003
.42,132500,8702
.533,132600,9002
.386,132600,9003
.082,132600,9100
1,132700,8900
1,132800,8900
.43,132900,9701
.57,132900,9600
1,133000,9701
.075,133100,8900
.514,133100,9702
.285,133100,8502
.126,133100,9701
.079,133200,8502
.197,133200,8900
.723,133200,9001
.194,133300,9001
.423,133300,8702
.383,133300,8701
1,133400,8800
1,133500,8800
.075,133600,8602
.501,133600,8701
.424,133600,8800
.607,133700,8602
.393,133700,7600
.819,133800,8601
.074,133800,7600
.106,133800,8602
.761,133900,8503
.24,133900,8501
1,134000,10200
.23,134100,10301
.299,134100,8503
.037,134100,9702
.433,134100,10200
.399,134200,10101
.601,134200,10102
.999,134300,8503
.313,150100,34702
.687,150100,34703
1,150200,35600
1,150301,34701
1,150302,34701
1,150303,34701
1,150304,34701
1,150305,34701
1,150306,34701
1,150307,34701
.944,160100,38601
.055,160100,34501
.652,160200,38401
.347,160200,38402
.037,160300,36303
.887,160300,36301
.075,160300,36302
.108,160400,35803
.597,160400,35801
.296,160400,35802
1,160500,35801
1,160600,35801
1,160700,35801
.256,160800,35702
.744,160800,35701
.811,160900,36301
.101,160900,36200
.089,160900,36403
.068,170101,23801
.209,170101,23200
.723,170101,24400
1,170102,23801
1,170103,23801
.239,170200,23600
.76,170200,23700
.739,170300,25000
.138,170300,23900
.122,170300,24801
.434,170400,24900
.566,170400,24801
.463,170500,24900
.537,170500,23302
.808,170600,23301
.191,170600,23500
.139,170700,14802
.301,170700,14801
.153,170700,23301
.406,170700,23302
.086,170800,14700
.058,170800,25500
.131,170800,25401
.254,170800,25602
.15,170800,14801
.321,170800,25601
1,170900,25601
.259,171000,25601
.741,171000,25500
1,171101,24701
.742,171102,24701
.258,171102,25500
1,171201,24900
1,171202,24900
1,171300,24802
1,171400,24802
1,171500,23500
.159,171600,23400
.335,171600,24802
.507,171600,23500
1,171700,23900
1,171800,23900
1,171900,23900
1,172000,23400
1,172100,23500
.496,172200,14500
.185,172200,24200
.084,172200,23500
.235,172200,23400
1,172300,24200
1,172400,23900
.477,172500,23700
.054,172500,23801
.469,172500,23900
1,172600,24400
1,172700,24400
1,172800,24400
1,172900,24400
1,173001,24300
1,173002,24300
1,173003,24300
1,173004,24300
1,173005,24300
.999,173006,24300
1,173101,24300
1,173102,24300
1,173103,24300
1,173104,24300
1,173201,24300
1,173202,24300
1,173203,24300
1,173204,24300
1,173205,24300
1,173206,24300
1,173301,24300
1,173302,24300
1,173303,24300
1,173304,24300
1,173305,24300
1,173401,24300
1,173402,24300
1,173403,24300
1,173404,24300
1,173405,24300
1,173406,24300
1,173407,24300
1,173408,24300
1,173409,24300
1,173410,24300
1,173411,24300
1,173412,24300
1,173413,24300
1,173414,24300
1,173501,24300
1,173502,24300
1,173503,24300
1,173504,24300
1,173505,24300
1,173506,24300
1,173507,24300
1,173508,24300
1,173509,24300
1,173510,24300
1,173511,24300
1,173512,24300
1,173513,24300
1,173514,24300
1,173515,24300
1,173516,24300
1,173517,24300
1,173518,24300
1,173519,24300
1,180100,14900
1,180201,14900
1,180202,14900
1,180203,14900
1,180300,14900
1,180400,13600
1,180500,13600
1,180600,13600
1,180700,13700
.525,180800,13700
.475,180800,14100
1,180900,14100
1,181000,14100
1,181100,14100
.379,181200,13600
.621,181200,13800
.435,181300,14900
.2,181300,13800
.134,181300,13900
.23,181300,13600
.317,181400,14400
.684,181400,14500
.688,181500,13900
.312,181500,13800
.2,181600,14100
.801,181600,14000
1,181700,13900
1,181800,14500
1,181901,14200
1,181902,14200
1,182001,14000
.035,182002,14000
.965,182002,14200
1,182100,14000
.516,182200,14000
.484,182200,12600
1,182301,14200
1,182302,14200
1,182303,14200
1,182304,14200
1,182305,14200
1,182306,14200
1,182307,14200
1,182400,14200
1,182500,14200
.492,182600,14400
.507,182600,14600
1,182700,14400
.215,182800,14400
.397,182800,14600
.388,182800,14802
1,182900,14600
.117,183000,14200
.883,183000,14300
.263,183100,12600
.146,183100,14200
.373,183100,12800
.22,183100,14300
.266,183200,13102
.733,183200,12800
.808,183300,13101
.192,183300,14300
1,183400,13101
.632,183500,14600
.368,183500,13101
.999,183600,14700
1,183700,14700
1,183800,14700
.078,190100,27302
.415,190100,27201
.05,190100,27202
.145,190100,27401
.312,190100,27301
.08,190200,22002
.584,190200,21801
.207,190200,21802
.128,190200,27301
.194,190300,23200
.258,190300,21802
.548,190300,22001
1,190400,22001
.359,190500,23802
.548,190500,23200
.093,190500,22100
.43,190600,21900
.106,190600,22002
.117,190600,22100
.346,190600,22200
1,190700,22100
1,190800,22200
1,190900,27402
.26,191000,28001
.241,191000,27401
.051,191000,27503
.085,191000,27501
.363,191000,27504
1,191100,28001
.201,191200,28201
.646,191200,28202
.152,191200,27503
.564,191300,22300
.182,191300,27502
.152,191300,26106
.059,191300,28201
.042,191300,27501
1,191400,27501
1,191500,27501
.999,191600,27501
.441,191700,27501
.3,191700,21900
.259,191700,22300
.652,191800,23600
.349,191800,22100
1,191900,23801
.084,200100,29007
.371,200100,29006
.058,200100,28602
.031,200100,28606
.102,200100,28603
.063,200100,28601
.043,200100,29103
.166,200100,28604
.083,200100,28605
.063,200200,29202
.194,200200,29101
.067,200200,29103
.063,200200,29005
.614,200200,29104
.071,200300,29202
.928,200300,29203
.585,200400,29501
.056,200400,29503
.213,200400,29204
.146,200400,29201
1,200500,29502
