czone,cty_fips,cty_pop,cty_labf
8000,45027,28450,12163
8202,45029,34377,15341
1302,45031,61851,29239
1302,45033,29114,12768
8202,45035,83060,41520
8401,45037,18375,8855
8100,45039,22295,10330
1302,45041,114344,55066
1302,45043,46302,21137
8300,45045,320167,16988
8300,45047,59567,29519
8201,45049,18191,7637
1302,45051,144053,74975
8800,45053,15487,6598
8000,45055,43599,21860
900,45057,54516,27630
8300,45059,58092,28767
8000,45061,18437,7994
8100,45063,167611,93394
8300,45065,8868,3554
1302,45067,33899,15371
1301,45069,29361,13154
8100,45071,33172,16188
8300,45073,57494,28749
8100,45075,84803,38539
8300,45077,93894,47917
8100,45079,285720,15431
8100,45081,16357,7992
700,45083,226800,11739
8000,45085,102637,50841
700,45087,30337,14743
1302,45089,36815,15800
900,45091,131497,70763
27006,46003,3135,1267
27007,46005,18253,8936
27704,46007,3206,1206
27005,46009,7089,2891
26501,46011,25207,13210
26605,46013,35580,18643
27009,46015,5485,2708
27009,46017,1759,643
27601,46019,7914,3636
26604,46021,1965,920
27008,46023,9131,3746
26504,46025,4403,1880
26503,46027,13186,6831
26504,46029,22698,11615
26603,46031,4195,1472
27601,46033,6179,3022
27006,46035,17503,8744
26602,46037,6978,2891
26504,46039,4522,2044
27602,46041,5523,2159
27008,46043,3746,1494
26605,46045,4356,2004
27601,46047,7353,3160
26605,46049,2744,1227
26601,46051,8372,3992
27004,46053,5359,2390
27603,46055,2624,1091
26504,46057,4974,2052
27010,46059,4272,1959
27006,46061,2994,1490
26401,46063,1669,810
27011,46065,14817,8075
27008,46067,8262,3755
27010,46069,1696,800
27603,46071,2811,1120
27007,46073,2425,1070
27604,46075,1324,635
26501,46077,5925,2609
26502,46079,10550,5217
27601,46081,20655,10366
26503,46083,15427,8085
27009,46085,3638,1742
26503,46087,5688,2601
26605,46089,3228,1397
26602,46091,4844,2153
27601,46093,21878,10733
27605,46095,2137,784
26502,46097,3272,1477
26503,46099,123809,68455
26501,46101,6507,3113
27601,46103,81343,42234
26404,46105,3932,2094
27012,46107,3190,1482
26602,46109,9914,4241
27006,46111,2833,1221
27704,46113,9902,2853
26605,46115,7981,3483
27011,46117,2453,1335
27011,46119,1589,840
27605,46121,8352,2695
27004,46123,6924,3186
26503,46125,8576,3892
28001,46127,10189,4893
26604,46129,6087,2887
27005,46135,19252,9684
27602,46137,2220,772
302,47001,68250,32886
5700,47003,30411,15472
5800,47005,14524,6606
6402,47007,9669,3969
302,47009,85969,41934
6502,47011,73712,38541
302,47013,35079,13794
5600,47015,10467,5221
5800,47017,27514,12979
100,47019,51505,24411
5600,47021,27140,14227
4901,47023,12819,6041
301,47025,26137,11064
5402,47027,7238,3406
200,47029,29141,13996
5700,47031,40339,19171
4901,47033,13378,6218
6402,47035,34736,15372
5600,47037,510784,27930
4903,47039,10472,4632
6301,47041,14360,6990
5800,47043,35061,17188
4902,47045,34854,16835
5202,47047,25559,11543
