"state","puma12","puma2k","stab","PUMAname","PUMA2kName","hus10","afact","AFACT2"
"FIPS state","puma12","puma2k","State Postal Code","PUMA12 Name","PUMA 2K Name","Total HUs, 2010 census","puma12 to puma2k alloc factor","puma2k to puma12 alloc factor"
"06","03703","04500","CA","Los Angeles County (North Central)--Lancaster City","0604500",50342,0.908,0.97 
"06","03703","06101","CA","Los Angeles County (North Central)--Lancaster City","0606101",5077,0.092,0.082 
"06","03704","04500","CA","Los Angeles County (North Central)--Palmdale City","0604500",512,0.01,0.01 
"06","03704","04600","CA","Los Angeles County (North Central)--Palmdale City","0604600",45528,0.902,0.984 
"06","03704","06101","CA","Los Angeles County (North Central)--Palmdale City","0606101",4455,0.088,0.072 
"06","03705","05401","CA","Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)","0605401",58745,0.979,0.939 
"06","03705","05402","CA","Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)","0605402",478,0.008,0.011 
"06","03705","06126","CA","Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)","0606126",764,0.013,0.018 
"06","03706","05401","CA","Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)","0605401",24,0.001,0 
"06","03706","05402","CA","Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)","0605402",41519,0.991,0.971 
"06","03706","05405","CA","Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)","0605405",360,0.009,0.01 
"06","03707","05403","CA","Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities","0605403",29072,0.805,0.976 
"06","03707","05404","CA","Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities","0605404",7,0,0 
"06","03707","05405","CA","Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities","0605405",286,0.008,0.008 
"06","03707","06101","CA","Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities","0606101",457,0.013,0.007 
"06","03707","06126","CA","Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities","0606126",6291,0.174,0.15 
"06","03708","05403","CA","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)","0605403",104,0.002,0.003 
"06","03708","05404","CA","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)","0605404",42494,0.998,1 
"06","03708","06101","CA","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)","0606101",1,0,0 
"06","03709","04900","CA","Los Angeles County (Central)--San Gabriel Valley Region (North)","0604900",312,0.007,0.004 
"06","03709","05000","CA","Los Angeles County (Central)--San Gabriel Valley Region (North)","0605000",1850,0.044,0.031 
"06","03709","06101","CA","Los Angeles County (Central)--San Gabriel Valley Region (North)","0606101",2,0,0 
"06","03709","06102","CA","Los Angeles County (Central)--San Gabriel Valley Region (North)","0606102",39990,0.949,0.738 
"06","03710","06102","CA","Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities","0606102",7394,0.154,0.136 
"06","03710","06105","CA","Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities","0606105",40503,0.846,0.941 
"06","03711","05200","CA","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities","0605200",655,0.011,0.016 
"06","03711","06101","CA","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities","0606101",3,0,0 
"06","03711","06106","CA","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities","0606106",58415,0.989,0.999 
"06","03711","06107","CA","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities","0606107",2,0,0 
"06","03712","05200","CA","Los Angeles County (East Central)--Pomona City","0605200",39807,0.998,0.978 
"06","03712","06106","CA","Los Angeles County (East Central)--Pomona City","0606106",67,0.002,0.001 
"06","03713","05800","CA","Los Angeles County (East Central)--Covina & Walnut Cities","0605800",4538,0.131,0.139 
"06","03713","06105","CA","Los Angeles County (East Central)--Covina & Walnut Cities","0606105",23,0.001,0.001 
"06","03713","06107","CA","Los Angeles County (East Central)--Covina & Walnut Cities","0606107",29996,0.868,0.865 
